,,,,,,
Walmart Receiving DCs for Store Numbers 1258-4869,,,,,,
Store #,Address Line 1,Address Line 2,City,State,Zip Code,Phone Number
6031,Walmart DC 6031w-WPM,23702 W Southern Ave,Buckeye,AZ,85326,501-374-1212
6031,Walmart DC 6031i-IMP ASM,23702 W Southern Ave,Buckeye,AZ,85326,501-374-1212
6031,Walmart DC 6031a-ASM Dis,23702 W Southern Ave,Buckeye,AZ,85326,501-374-1212
6032,Walmart Warehouse 6032,Pharmacy Warehouse,Hanford,CA,93230-0000,559-583-6071
6035,Walmart Warehouse 6035,3220 Nevada Ter,Ottawa,KS,66067-8410,785-242-4555
6035,Walmart DC 6035g-general,3220 Nevada Ter,Ottawa,KS,66067-8410,785-242-4555
6035,Walmart DC 6035t-TAB,3220 Nevada Ter,Ottawa,KS,66067-8410,785-242-4555
6035,Walmart DC 6035d-DSDC,3220 Nevada Ter,Ottawa,KS,66067-8410,785-242-4555
6035,Walmart Warehouse 6035,3220 Nevada Ter,Ottawa,KS,66067-8410,785-242-4555
6035,Walmart DC 6035p-PAD,3220 Nevada Ter,Ottawa,KS,66067-8410,785-242-4555
6035,Walmart DC 6035w-WPM,3220 Nevada Ter,Ottawa,KS,66067-8410,785-242-4555
6035,Walmart DC 6035i-IMP ASM,3220 Nevada Ter,Ottawa,KS,66067-8410,785-242-4555
6035,Walmart DC 6035a-ASM Dis,3220 Nevada Ter,Ottawa,KS,66067-8410,785-242-4555
6036,Walmart Warehouse 6036,14863 Farm To Market Rd 645,Palestine,TX,75803-1220,903-729-2121
6036,Walmart DC 6036g-general,14863 Farm To Market Rd 645,Palestine,TX,75803-1220,903-729-2121
6036,Walmart DC 6036t-TAB,14863 Farm To Market Rd 645,Palestine,TX,75803-1220,903-729-2121
6036,Walmart DC 6036d-DSDC,14863 Farm To Market Rd 645,Palestine,TX,75803-1220,903-729-2121
6036,Walmart Warehouse 6036,14863 Farm To Market Rd 645,Palestine,TX,75803-1220,903-729-2121
6036,Walmart DC 6036p-PAD,14863 Farm To Market Rd 645,Palestine,TX,75803-1220,903-729-2121
6036,Walmart DC 6036w-WPM,14863 Farm To Market Rd 645,Palestine,TX,75803-1220,903-729-2121
6036,Walmart DC 6036i-IMP ASM,14863 Farm To Market Rd 645,Palestine,TX,75803-1220,903-729-2121
6036,Walmart DC 6036a-ASM Dis,14863 Farm To Market Rd 645,Palestine,TX,75803-1220,903-729-2121
6037,"Hermiston, Or RDC 6037",1455 Se Feedville Rd,Hermiston,OR,97838,541-564-4600
6038,Walmart Warehouse 6038,8827 Old River Rd,Marcy,NY,13403-3030,315-736-2313
6038,Walmart DC 6038g-general,8827 Old River Rd,Marcy,NY,13403-3030,315-736-2313
6038,Walmart DC 6038t-TAB,8827 Old River Rd,Marcy,NY,13403-3030,315-736-2313
6038,Walmart DC 6038d-DSDC,8827 Old River Rd,Marcy,NY,13403-3030,315-736-2313
6038,Walmart Warehouse 6038,8827 Old River Rd,Marcy,NY,13403-3030,315-736-2313
6038,Walmart DC 6038p-PAD,8827 Old River Rd,Marcy,NY,13403-3030,315-736-2313
6038,Walmart DC 6038w-WPM,8827 Old River Rd,Marcy,NY,13403-3030,315-736-2313
6038,Walmart DC 6038i-IMP ASM,8827 Old River Rd,Marcy,NY,13403-3030,315-736-2313
6038,Walmart DC 6038a-ASM Dis,8827 Old River Rd,Marcy,NY,13403-3030,315-736-2313
6039,Walmart Warehouse 6039,1659 Pottertown Rd,Midway,TN,37809-0000,423-235-2300
6039,Walmart DC 6039g-general,1659 Pottertown Rd,Midway,TN,37809-0000,423-235-2300
6039,Walmart DC 6039t-TAB,1659 Pottertown Rd,Midway,TN,37809-0000,423-235-2300
6039,Walmart DC 6039d-DSDC,1659 Pottertown Rd,Midway,TN,37809-0000,423-235-2300
6039,Walmart Warehouse 6039,1659 Pottertown Rd,Midway,TN,37809-0000,423-235-2300
6039,Walmart DC 6039p-PAD,1659 Pottertown Rd,Midway,TN,37809-0000,423-235-2300
